| 18.02.2026 | Staatsverschuldung I |
| 20.02.2026 | Staatsverschuldung II |
| 25.02.2026 | Staatsverschuldung III |
| 27.02.2026 | Arbeitslosigkeit I |
| 04.03.2026 | Arbeitslosigkeit II |
| 06.03.2026 | Arbeitslosigkeit III |
| 11.03.2026 | Übung und Vertiefung |
| 13.03.2026 | LEISTUNGSNACHWEIS 1 |
| 18.03.2026 | Aussenwirtschaft I |
| 20.03.2026 | Aussenwirtschaft II |
| 25.03.2026 | Aussenwirtschaft III |
| 27.03.2026 | Wechselkurse I |
| 01.04.2026 | Wechselkurse II |
| 08.04.2026 | Zahlungsbilanz I |
| 10.04.2026 | Zahlungsbilanz II |
| 15.04.2026 | Übung Aussenwirtschaft |
| 17.04.2026 | LEISTUNGSNACHWEIS 2 |
| 06.05.2026 |  |
| 08.05.2026 |  |
| 13.05.2026 |  |
| 15.05.2026 |  |
| 20.05.2026 |  |
| 22.05.2026 |  |
| 27.05.2026 |  |
